scenario,mode,total_requests,successful,concurrency,max_tokens,temperature,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,avg_throughput_tps,total_tokens
1,standard,30,30,1,512,0.0,18.1,26.2,29.9,3469.1,3784.8,3873.4,136.2,13779
2,standard,60,60,16,60,1.0,101.6,147.6,153.5,907.5,997.3,1000.2,68.57,3591
1,speculative,30,30,1,512,0.0,76.5,164.4,313.4,8845.7,9920.7,10641.1,39.72,9891
2,speculative,60,60,16,60,1.0,176.9,482.9,484.2,2030.0,3452.3,3680.1,23.61,3111
